,0
0,актуализация данных в системе добавление/удаление из рассылки отчетов/уведомлений
1,актуализация данных в системе другое
2,актуализация данных в системе закрепление водителя
3,актуализация данных в системе изменение доступов к сущностям у уз
4,актуализация данных в системе корректировка информации по тс
5,актуализация данных в системе корректировка карточек сотрудников
6,актуализация данных в системе метки водителей
7,актуализация данных в системе настройка шаблонов и окружения
8,актуализация данных в системе номер симкарты
9,актуализация данных в системе перемещение тс между группами
10,актуализация данных в системе привязка/отвязка лицензий
11,актуализация данных в системе редактирование геозон
12,доступ в систему и уз доступ к порталу
13,доступ в систему и уз другое
14,доступ в систему и уз проблемы со входом
15,доступ в систему и уз создание/редактирование уз
16,доступ в систему и уз удаление уз
17,другое
18,запрос на предоставление информации другое
19,запрос на предоставление информации запрос на инструкцию
20,запрос на предоставление информации предоставление информации по водителям
21,запрос на предоставление информации предоставление информации по тс
22,интеграция интеграция со сторонним по
23,интеграция стороннее оборудование и ретрансляции
24,оборудование и настройки датчиков comнасос
25,оборудование и настройки датчиков акб
26,оборудование и настройки датчиков активация терминала
27,оборудование и настройки датчиков датчик зажигания
28,оборудование и настройки датчиков датчик открытия запр. модуля
29,оборудование и настройки датчиков датчик проблескового маяка
30,оборудование и настройки датчиков деактивация и демонтаж
31,оборудование и настройки датчиков другое
32,оборудование и настройки датчиков зуммер
33,оборудование и настройки датчиков идентификация водителей
34,оборудование и настройки датчиков корректировка настроек
35,оборудование и настройки датчиков одометры
36,оборудование и настройки датчиков отскоки
37,оборудование и настройки датчиков разрывы
38,оборудование и настройки датчиков ремень безопасности
39,оборудование и настройки датчиков симкарты
40,оборудование и настройки датчиков срабатывания дсв
41,оборудование и настройки датчиков тахографы
42,оборудование и настройки датчиков температурные датчики
43,оборудование и настройки датчиков топливо
44,оборудование и настройки датчиков установка нового оборудования
45,оборудование и настройки датчиков уход со связи
46,оборудование и настройки датчиков фары
47,обратная связь биллинг
48,обратная связь ос по спискам на сервис и согласование выездов
49,отчеты и данные вопросы и ос по плановым отчетам
50,отчеты и данные запросы на проверку нарушений и данных системы
51,отчеты и данные исключение нарушений
52,отчеты и данные консультации по данным в отчетах и работе с ними
53,отчеты и данные корректировка системных отчетов
54,отчеты и данные настройка и корректировка запланированных отчетов
55,отчеты и данные отчеты по дтп и справки о перемещении
56,отчеты и данные предоставление кастомной статистики
57,отчеты и данные предоставление системного отчета или трека
58,отчеты и данные списки рассылки для плановых отчетов
59,работа платформы доставка запланированных отчетов
60,работа платформы запрос на доработку или новый функционал
61,работа платформы запрос на консультацию
62,работа платформы недоступность сервера
63,работа платформы ошибки при построении отчетов (в т.ч. запланированные)
64,работа платформы проблемы при работе с по
65,уведомления
66,центр управления поездками
